TIMESTAMP_START,TIMESTAMP_END,TA_F_MDS,TA_F_MDS_QC,TA_ERA,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA,PA_ERA,PA_F,PA_F_QC,P,P_ERA,P_F,P_F_QC,WS,WS_ERA,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,PPFD_IN,PPFD_OUT,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_RANDUNC_METHOD,LE_RANDUNC_N,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_RANDUNC_METHOD,H_RANDUNC_N,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT,NEE_CUT_REF,NEE_VUT_REF,NEE_CUT_REF_QC,NEE_VUT_REF_QC,NEE_CUT_REF_RANDUNC,NEE_VUT_REF_RANDUNC,NEE_CUT_REF_RANDUNC_METHOD,NEE_VUT_REF_RANDUNC_METHOD,NEE_CUT_REF_RANDUNC_N,NEE_VUT_REF_RANDUNC_N,NEE_CUT_REF_JOINTUNC,NEE_VUT_REF_JOINTUNC,NEE_CUT_USTAR50,NEE_VUT_USTAR50,NEE_CUT_USTAR50_QC,NEE_VUT_USTAR50_QC,NEE_CUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC,NEE_CUT_USTAR50_RANDUNC_METHOD,NEE_VUT_USTAR50_RANDUNC_METHOD,NEE_CUT_USTAR50_RANDUNC_N,NEE_VUT_USTAR50_RANDUNC_N,NEE_CUT_USTAR50_JOINTUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_CUT_MEAN,NEE_VUT_MEAN,NEE_CUT_MEAN_QC,NEE_VUT_MEAN_QC,NEE_CUT_SE,NEE_VUT_SE,NEE_CUT_05,NEE_CUT_16,NEE_CUT_25,NEE_CUT_50,NEE_CUT_75,NEE_CUT_84,NEE_CUT_95,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_CUT_05_QC,NEE_CUT_16_QC,NEE_CUT_25_QC,NEE_CUT_50_QC,NEE_CUT_75_QC,NEE_CUT_84_QC,NEE_CUT_95_QC,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,RECO_NT_CUT_REF,RECO_NT_CUT_USTAR50,RECO_NT_CUT_MEAN,RECO_NT_CUT_SE,RECO_NT_CUT_05,RECO_NT_CUT_16,RECO_NT_CUT_25,RECO_NT_CUT_50,RECO_NT_CUT_75,RECO_NT_CUT_84,RECO_NT_CUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,GPP_NT_CUT_REF,GPP_NT_CUT_USTAR50,GPP_NT_CUT_MEAN,GPP_NT_CUT_SE,GPP_NT_CUT_05,GPP_NT_CUT_16,GPP_NT_CUT_25,GPP_NT_CUT_50,GPP_NT_CUT_75,GPP_NT_CUT_84,GPP_NT_CUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,RECO_DT_CUT_REF,RECO_DT_CUT_USTAR50,RECO_DT_CUT_MEAN,RECO_DT_CUT_SE,RECO_DT_CUT_05,RECO_DT_CUT_16,RECO_DT_CUT_25,RECO_DT_CUT_50,RECO_DT_CUT_75,RECO_DT_CUT_84,RECO_DT_CUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,GPP_DT_CUT_REF,GPP_DT_CUT_USTAR50,GPP_DT_CUT_MEAN,GPP_DT_CUT_SE,GPP_DT_CUT_05,GPP_DT_CUT_16,GPP_DT_CUT_25,GPP_DT_CUT_50,GPP_DT_CUT_75,GPP_DT_CUT_84,GPP_DT_CUT_95,RECO_SR,RECO_SR_N
201008040000,201008040030,8.338,0,6.693,8.338,0,0,0,0,0,0,0,301.771,0,279.688,301.771,0,324.715,0,285.222,324.715,0,2.62,0,3.186,2.62,0,-9999,69.827,69.827,2,0,0,0,0,2.136,2.323,2.136,0,5.127,0.287,76.265,-44.542,0,0.006,0,346.314,394.188,0,10.775,0,32.095,0,-18.659,0,18.577,0,22.5526,18.8748,26.8706,26.4542,1,43,27.1101,-32.022,0,-38.875,-46.318,-32.5353,43.9689,1,44,45.1404,485,1,1,3.87667,4.24537,1,1,1.12516,0.968484,2,2,86,52,1.21674,1.08451,3.98331,4.13919,1,1,1.1058,1.00694,2,2,79,59,1.19886,1.11899,4.10052,4.19331,0.8,0.8,0.0795905,0.062776,3.45243,3.68594,3.75944,3.908,4.4825,4.61216,4.81777,3.65608,3.71579,3.84756,4.0214,4.5806,4.69189,4.72847,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5.60849,5.44283,5.29453,0.0588094,4.73847,4.8674,4.95966,5.2255,5.59555,5.68797,5.84005,5.0118,5.02178,5.18471,0.0655341,4.49445,4.79184,4.84759,5.14153,5.46614,5.65986,5.84005,1.24979,1.30364,1.10122,0.0368442,0.623473,0.756019,0.959502,1.161,1.24979,1.26806,1.45762,1.27279,1.03847,1.08775,0.0775438,0.623663,0.903659,1.00442,1.13034,1.26486,1.27279,1.40832,2.9042,3.41893,3.51597,0.0930228,2.49241,2.87925,3.30744,3.41059,4.0091,4.15408,4.35872,2.925,3.63395,3.43656,0.0894844,2.34413,2.84241,2.925,3.39401,3.8518,4.05582,4.26308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040030,201008040100,7.919,0,6.377,7.919,0,0,0,0,0,0,0,292.817,0,279.688,292.817,0,324.329,0,285.222,324.329,0,2.04,0,3.038,2.04,0,-9999,69.824,69.824,2,0,0,0,0,1.53,2.234,1.53,0,343.665,0.087,80.954,-51.305,0,0.009,0,344.122,405.804,0,10.68,0,32.1,0,-17.355,0,21.4424,1,26.0312,21.785,31.0152,22.7586,2,175,23.7649,-56.2172,1,-68.2009,-81.315,-57.1154,38.045,2,88,42.0621,486,1,1,3.69046,4.19046,1,1,1.12232,0.968484,2,2,81,52,1.23686,1.18401,3.8719,4.05499,1,1,1.1058,0.996204,2,2,77,56,1.22189,1.20679,3.99463,4.17532,0.8,0.8,0.0873172,0.082895,3.23537,3.54435,3.58256,3.75498,4.4825,4.584,4.992,3.54435,3.62975,3.69046,3.998,4.5806,4.992,4.992,1,1,1,1,2,2,1,1,1,1,3,1,1,1,5.56582,5.40084,5.24072,0.0589492,4.65261,4.82695,4.89487,5.18937,5.55115,5.64202,5.76032,4.94643,4.95643,5.12993,0.0662244,4.42254,4.72532,4.78508,5.10701,5.41253,5.58293,5.76032,1.38237,1.34585,1.0654,0.0517076,0.458548,0.573816,0.726338,1.16186,1.32552,1.36899,1.41655,1.4236,1.08453,1.14226,0.057603,0.464424,0.719497,1.04086,1.15867,1.27783,1.38292,1.4236,2.76053,3.30883,3.40537,0.0946453,2.40999,2.73751,3.17562,3.2778,3.92785,4.04728,4.25044,2.78344,3.52551,3.31879,0.0916167,2.25481,2.68921,2.78344,3.26594,3.74777,3.9567,4.17015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040100,201008040130,8.289,0,6.061,8.289,0,0,0,0,0,0,0,289.372,0,279.688,289.372,0,324.627,0,285.222,324.627,0,2.56,0,2.89,2.56,0,-9999,69.821,69.821,2,0,0,0,0,0.783,2.146,0.783,0,309.458,0.071,76.731,-55.164,0,0.005,0.052,344.485,401.402,0,10.58,0,32.095,0,-17.174,0,1.606,0,1.94835,1.62745,2.32299,27.493,1,38,27.4978,-9.072,0,-11.0059,-13.1221,-9.19318,45.9102,1,39,46.0025,487,1,1,3.83715,4.21901,1,1,1.12516,0.968484,2,2,86,52,1.2189,1.09866,3.94287,4.10557,1,1,1.1058,1.00694,2,2,79,59,1.20105,1.13271,4.02747,4.17677,0.8,0.8,0.0726444,0.0653699,3.41518,3.64649,3.69098,3.87461,4.4825,4.584,4.72847,3.63527,3.69098,3.81275,3.98077,4.5806,4.72847,4.72847,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5.59239,5.4275,5.28103,0.0588664,4.72099,4.85752,4.94376,5.21171,5.57933,5.6703,5.82815,4.99593,5.00624,5.17105,0.0656335,4.47817,4.77606,4.83853,5.12792,5.45911,5.64907,5.82815,1.27155,1.32193,1.10426,0.0382606,0.618803,0.750914,0.94396,1.16593,1.27155,1.29401,1.44921,1.29912,1.06337,1.14733,0.0493491,0.701199,0.905037,0.998061,1.14498,1.25854,1.29912,1.405,2.87896,3.38986,3.49424,0.0942238,2.47455,2.85375,3.27289,3.37706,4.00215,4.14579,4.35221,2.89862,3.61022,3.41244,0.0907989,2.32586,2.79915,2.89862,3.35924,3.83746,4.04592,4.25978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040130,201008040200,7.821,0,5.745,7.821,0,0,0,0,0,0,0,254.611,0,279.688,254.611,0,322.64,0,285.222,322.64,0,2.2,0,2.742,2.2,0,-9999,69.818,69.818,2,0,0,0,0,1.443,2.058,1.443,0,304.501,0.105,79.366,-85.673,0,0.007,0.048,340.237,406.071,0,10.47,0,32.095,0,-19.997,0,22.0616,1,26.7644,22.3563,31.9818,22.4424,2,172,23.5494,-57.5659,1,-69.8371,-83.4509,-58.3349,38.3928,2,86,42.6691,487,1,1,3.69046,4.19046,1,1,1.1145,0.971404,2,2,83,53,1.23441,1.19854,3.8719,4.05499,1,1,1.0936,0.998097,2,2,79,57,1.21557,1.22027,3.967,4.14711,0.8,0.8,0.0869775,0.083244,3.24775,3.51919,3.54998,3.7161,4.38633,4.5806,4.992,3.51919,3.58791,3.69046,3.91029,4.5806,4.992,4.992,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5.54545,5.38128,5.22142,0.0590401,4.62574,4.81992,4.87199,5.17196,5.53045,5.61979,5.73928,4.9235,4.93383,5.11025,0.0664487,4.39849,4.70237,4.76122,5.08998,5.39923,5.56326,5.73928,1.36496,1.32629,1.07432,0.0527154,0.432332,0.553449,0.813991,1.191,1.34441,1.37534,1.39952,1.40684,1.06193,1.14643,0.0580576,0.43833,0.699726,1.02591,1.16856,1.34441,1.37534,1.40684,2.72026,3.26786,3.37158,0.0959529,2.38357,2.69719,3.12754,3.22991,3.90222,4.0265,4.23108,2.74225,3.48952,3.28203,0.0930596,2.22729,2.63147,2.74225,3.21789,3.72136,3.94006,4.15537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040200,201008040230,8.199,0,5.429,8.199,0,0,0,0,0,0,0,260.115,0,278.732,260.115,0,323.016,0,284.105,323.016,0,2.71,0,2.594,2.71,0,-9999,69.815,69.815,2,0,0,0,0,1.574,1.97,1.574,0,285.6,0.118,75.249,-80.178,0.001,0.006,0.067,340.227,397.49,0,10.275,0,32.105,0,-23.871,0,7.183,0,8.71418,7.27895,10.4129,22.5021,1,36,22.6217,-15.483,0,-18.7835,-22.4451,-15.6898,43.8376,1,37,44.1227,487,1,1,3.83715,4.21901,1,1,1.11841,0.98745,2,2,88,54,1.21074,1.11542,3.94287,4.10557,1,1,1.0936,1.01476,2,2,81,61,1.18786,1.13966,4.02823,4.17719,0.8,0.8,0.0725354,0.0652819,3.3872,3.65655,3.69098,3.87461,4.4825,4.584,4.72847,3.6521,3.69098,3.81275,3.98077,4.5806,4.72847,4.72847,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5.57273,5.40864,5.26267,0.0589355,4.69554,4.85121,4.92199,5.1949,5.55938,5.64882,5.80861,4.97412,4.98477,5.15233,0.0658329,4.45531,4.75424,4.81586,5.11146,5.44688,5.63085,5.80861,1.25474,1.30307,1.08549,0.0383905,0.611051,0.742996,0.920347,1.14543,1.25474,1.27763,1.43741,1.28297,1.0419,1.12836,0.0496549,0.676481,0.839633,0.974269,1.12268,1.24547,1.28297,1.39804,2.84016,3.35073,3.46211,0.0955457,2.44915,2.81491,3.22537,3.32957,3.99135,4.12683,4.33475,2.85894,3.57625,3.37732,0.0922735,2.29936,2.74246,2.85894,3.31292,3.81295,4.03137,4.2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040230,201008040300,7.313,0,5.325,7.313,0,0,0,0,0,0,0,248.643,0,278.732,248.643,0,318.949,0,284.105,318.949,0,2.1,0,2.559,2.1,0,-9999,69.816,69.816,2,0,0,0,0,1.032,1.967,1.032,0,20.146,0.189,79.659,-87.231,0,0.007,0,335.874,398.918,0,10.075,0,32.09,0,-24.625,0,-6.525,0,-7.91592,-9.43805,-6.61216,12.1022,1,30,12.2822,5.94,0,7.20621,6.01935,8.59188,30.3774,1,30,30.4372,487,1,1,3.71914,4.09987,1,1,1.10154,0.971404,2,2,87,57,1.2155,1.20559,4.01246,4.09987,1,1,1.0936,1.01085,2,2,83,62,1.20831,1.23759,3.97372,4.14965,0.75,0.725,0.0846194,0.0824645,3.13046,3.5156,3.5331,3.75217,4.31925,4.5433,5.00325,3.5156,3.57524,3.71914,4.09987,4.5385,5.00325,5.00325,1,1,1,1,2,2,1,1,1,1,1,2,1,1,5.48881,5.32576,5.15306,0.0594454,4.5193,4.76056,4.79004,5.12388,5.4691,5.55871,5.64143,4.84086,4.85136,5.04057,0.0674806,4.30845,4.61702,4.67345,5.04386,5.33004,5.47176,5.64143,1.22634,1.22589,1.00341,0.0546345,0.240868,0.485561,0.824192,1.11003,1.22634,1.30448,1.32472,1.33118,0.838902,1.05962,0.057508,0.326791,0.635783,0.943322,1.10115,1.22905,1.32472,1.42915,2.55126,3.12929,3.23691,0.098234,2.28262,2.53007,2.96376,3.06483,3.76801,3.9091,4.10428,2.57461,3.35423,3.13898,0.0958152,2.11983,2.45401,2.57461,3.05841,3.59557,3.89095,4.04622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040300,201008040330,7.051,0,5.221,7.051,0,0,0,0,0,0,0,254.903,0,278.732,254.903,0,317.17,0,284.105,317.17,0,2.03,0,2.524,2.03,0,-9999,69.816,69.816,2,0,0,0,0,1.127,1.964,1.127,0,236.067,0.143,79.978,-79.695,0,0.004,0,334.599,400.164,0,9.88,0,32.076,0,-25.699,0,8.924,0,10.8263,9.04321,12.8579,11.9038,1,29,12.2351,-8.439,0,-10.2316,-12.1591,-8.55173,32.0494,1,29,32.1608,486,1,1,3.76041,4.24204,1,1,1.10154,0.968484,2,2,89,56,1.20166,1.17201,4.11637,4.24204,1,1,1.09463,1.01085,2,2,88,60,1.19533,1.20725,4.04139,4.19665,0.75,0.725,0.0775652,0.0779781,3.34903,3.58288,3.64433,3.79252,4.31925,4.5433,5.00325,3.55734,3.68318,3.76041,4.24204,4.5385,5.00325,5.00325,1,1,1,1,2,2,1,1,1,1,1,2,1,1,5.45967,5.29719,5.11786,0.0597291,4.46476,4.71661,4.7579,5.09912,5.42051,5.51703,5.61192,4.79837,4.80894,5.0047,0.0680582,4.26226,4.57284,4.62836,5.01991,5.29185,5.44156,5.61192,1.12893,1.05515,0.921206,0.052434,0.219402,0.456418,0.685946,0.994813,1.14349,1.23839,1.26431,1.26571,0.692574,0.954672,0.0503311,0.275313,0.608671,0.82418,0.981688,1.11402,1.26251,1.40238,2.46712,3.05884,3.16871,0.0993494,2.19971,2.44683,2.88121,2.98667,3.70838,3.88021,4.03947,2.49103,3.28515,3.06679,0.0971257,2.06585,2.37024,2.49103,2.97796,3.51089,3.86092,3.99003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040330,201008040400,7.182,0,5.116,7.182,0,0,0,0,0,0,0,254.016,0,278.732,254.016,0,317.35,0,284.105,317.35,0,2.19,0,2.49,2.19,0,-9999,69.817,69.817,2,0,0,0,0,1.903,1.961,1.903,0,260.032,0.098,78.566,-81.976,0,0.001,0,335.992,397.256,0,9.685,0,32.03,0,-26.911,0,3.037,0,3.68439,3.07757,4.37577,10.2376,1,32,10.2827,-14.768,0,-17.905,-21.278,-14.9653,30.798,1,32,31.1514,486,1,1,3.76041,4.24204,1,1,1.10154,0.971404,2,2,89,57,1.20166,1.17442,4.11637,4.24204,1,1,1.0936,1.00694,2,2,89,61,1.19439,1.20399,4.03844,4.19277,0.75,0.725,0.0792424,0.0787539,3.27699,3.58288,3.64433,3.79252,4.31925,4.5433,5.00325,3.55734,3.68318,3.7438,4.24204,4.5385,5.00325,5.00325,1,1,1,1,2,2,1,1,1,3,1,2,1,1,5.46555,5.30333,5.12986,0.0596094,4.48636,4.73227,4.76925,5.104,5.44342,5.53339,5.61662,4.81327,4.82407,5.01694,0.0677988,4.27933,4.58887,4.64464,5.02449,5.29833,5.44804,5.61662,1.13381,1.06129,0.937089,0.0523072,0.230754,0.462298,0.695539,1.0093,1.18661,1.24417,1.26851,1.27072,0.707698,0.967219,0.0480104,0.294916,0.613371,0.868953,0.99772,1.17227,1.26678,1.29781,2.503,3.08063,3.19572,0.0995943,2.21624,2.48184,2.90616,3.01326,3.74396,3.89157,4.0767,2.52543,3.31,3.09468,0.097278,2.08717,2.39477,2.52543,3.00242,3.55542,3.8804,4.02368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040400,201008040430,7.557,0,5.012,7.557,0,0,0,0,0,0,0,245.906,0,278.732,245.906,0,319.015,0,284.105,319.015,0,2.45,0,2.455,2.45,0,-9999,69.817,69.817,2,0,0,0,0,0.95,1.958,0.95,0,3.264,0.151,76.559,-90.784,0,0.001,0.053,336.639,396.477,0,9.496,0,32.02,0,-25.711,0,-0.218,0,-0.264307,-0.314099,-0.220912,11.0065,1,29,11.0067,-2.549,0,-3.09045,-3.67265,-2.58305,33.3811,1,29,33.3908,486,1,1,3.60803,4.09987,1,1,1.06831,0.968484,2,2,86,60,1.20881,1.22567,3.8369,4.09987,1,1,1.08022,0.998097,2,2,82,65,1.21934,1.24921,3.9394,4.12316,0.75,0.725,0.0896041,0.0907838,3.18786,3.46524,3.48441,3.64816,4.38633,4.59646,5.00325,3.46963,3.50083,3.60803,3.88674,4.4865,5.00325,5.00325,1,1,1,1,2,2,1,1,1,1,1,2,1,1,5.49294,5.33079,5.17099,0.0593197,4.5552,4.78477,4.81226,5.12706,5.47705,5.56251,5.68314,4.8636,4.87472,5.05886,0.0670714,4.33555,4.64211,4.69884,5.04777,5.36173,5.51064,5.68314,1.3728,1.23092,1.04783,0.0576168,0.352298,0.489687,0.664888,1.16512,1.30803,1.39961,1.43807,1.44604,1.03782,1.12084,0.0573971,0.358628,0.661925,1.01104,1.16998,1.3203,1.39961,1.44604,2.61529,3.16073,3.28281,0.0992996,2.29506,2.59213,2.9993,3.1099,3.83964,3.97,4.17792,2.63493,3.39434,3.18582,0.0967032,2.15583,2.48779,2.63493,3.09319,3.65058,3.91119,4.11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040430,201008040500,7.772,0,4.907,7.772,0,0,0,0,0,0,0,244.828,0,278.732,244.828,0,319.637,0,284.105,319.637,0,2.66,0,2.421,2.66,0,-9999,69.818,69.818,2,0,0,0,0,0.53,1.955,0.53,0,291.376,0.113,74.921,-90.04,2.209,0.082,0.071,334.799,397.867,0,9.33,0,32,0,-25.364,0,7.619,0,9.24312,7.72078,10.9776,11.1456,1,23,11.4041,-31.96,0,-38.7488,-46.0486,-32.3869,36.5453,1,23,37.9226,486,1,1,3.85425,4.19046,1,1,1.07229,0.965564,2,2,93,59,1.18511,1.17961,4.11241,4.19046,1,1,1.08859,0.996204,2,2,91,64,1.19988,1.20482,4.03496,4.21394,0.8,0.8,0.0835594,0.0759768,3.24638,3.5713,3.62602,3.87052,4.38633,4.5806,4.992,3.5713,3.63675,3.78041,4.19046,4.5806,4.992,4.992,1,1,1,1,2,1,1,1,3,1,1,1,1,1,5.50599,5.34405,5.19284,0.0592246,4.59304,4.81295,4.83879,5.13799,5.49106,5.57628,5.72202,4.89051,4.90189,5.08115,0.0667047,4.36599,4.67001,4.72801,5.05849,5.39053,5.54871,5.72202,1.12751,1.15359,0.978906,0.0474655,0.398479,0.51399,0.776552,1.05855,1.18818,1.20356,1.33569,1.2108,0.789485,1.06321,0.0562798,0.404444,0.676168,0.958302,1.06309,1.18818,1.2108,1.34413,2.67944,3.20366,3.3315,0.0993648,2.3337,2.65498,3.04919,3.15901,3.90069,4.0275,4.23781,2.69707,3.44083,3.23663,0.0966003,2.19407,2.53869,2.69707,3.14167,3.70181,3.94651,4.16738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
201008040500,201008040530,7.349,0,4.803,7.349,0,35.0546,18.404,0,16.363,18.404,0,253.476,0,280.322,253.476,0,310.383,0,285.963,310.383,0,2.44,0,2.386,2.44,0,70.001,69.819,70.001,0,0,0,0,0,1.37,1.952,1.37,0,307.308,0.062,76.322,-65.475,49.394,1.817,1.6,335.755,399.319,0,9.155,0,32.005,0,-26.099,0,19.6438,1,23.8312,19.9062,28.3031,22.8983,2,196,23.7293,-52.02,1,-63.0699,-74.9515,-52.7149,38.3043,2,84,41.7005,486,1,0,3.52071,3.76201,1,1,1.06831,0.960144,2,2,88,53,1.15184,1.04774,3.72776,3.76201,1,1,1.03654,0.965564,2,2,82,59,1.12243,1.05271,3.7463,3.8112,0.75,0.75,0.0664406,0.0644268,3.153,3.458,3.48064,3.56878,3.91379,4.31925,4.5385,3.153,3.48048,3.52071,3.76201,3.91379,4.31925,4.5385,3,1,1,1,1,2,2,3,1,1,1,1,2,2,5.46293,5.30167,5.13862,0.0595279,4.50733,4.74489,4.78452,5.10148,5.44626,5.52997,5.64153,4.82484,4.83624,5.02589,0.0675326,4.29407,4.60222,4.65807,5.02277,5.31599,5.471,5.64153,1.44424,1.53966,1.32742,0.0625303,0.698029,1.02387,1.09608,1.39573,1.50061,1.54914,1.69852,1.50854,1.10848,1.28763,0.0548948,0.698029,0.980211,1.09409,1.32228,1.50317,1.53476,1.6969,2.54231,3.09344,3.2224,0.100869,2.20854,2.51956,2.9198,3.03178,3.79649,3.92144,4.12997,2.56148,3.33115,3.12124,0.0984401,2.10798,2.40642,2.56148,3.01594,3.59736,3.89439,4.0733,0.921187,0.664611,0.729284,0.0225929,0.461791,0.555714,0.631275,0.736798,0.842018,0.893835,0.956078,0.89575,0.739754,0.746164,0.0244521,0.451606,0.585136,0.648092,0.743804,0.846174,0.929527,0.961549,-9999,-9999
201008040530,201008040600,8.555,0,5.767,8.555,0,154.573,102.16,0,82.902,102.16,0,266.309,0,280.322,266.309,0,285.321,0,285.963,285.321,0,3.3,0,2.84,3.3,0,70.008,69.837,70.008,0,0,0,0,0,1.718,2.124,1.718,0,305.905,0.065,70.498,15.059,235.91,8.846,8.25,345.16,394.709,0,9.011,0,31.985,0,-22.892,0,7.904,0,9.58888,8.00958,11.3882,12.4815,1,12,12.7303,-15.099,0,-18.3063,-21.755,-15.3007,40.0929,1,12,40.3773,486,1,0,1.48072,0.852105,1,1,1.14155,1.43637,2,2,47,15,1.18403,1.47035,1.48072,1.48072,1,1,1.12368,1.13003,2,2,40,26,1.16681,1.17292,1.38268,1.31663,0.675,0.6,0.11132,0.0832835,0.432837,0.852105,0.9265,1.48072,1.48072,1.48072,2.51067,0.432837,0.852105,0.9265,1.48072,1.48072,1.48072,2.51067,2,1,2,1,1,1,2,2,1,2,1,1,1,2,5.5622,5.40043,5.27796,0.0591982,4.73714,4.88345,4.94184,5.18528,5.55063,5.70096,5.86538,4.99486,5.00691,5.16795,0.0655637,4.48316,4.77696,4.84065,5.10224,5.48901,5.6476,5.86538,3.70456,3.91971,3.96133,0.125241,2.60603,3.3024,3.44888,3.70456,4.7101,4.85469,5.00153,3.63136,3.52619,3.82724,0.134613,1.66284,3.3007,3.4157,3.62263,4.545,4.86399,5.09563,2.92947,3.379,3.52104,0.0986742,2.48491,2.90053,3.24784,3.36245,4.10222,4.23594,4.45337,2.94066,3.62501,3.43595,0.095204,2.34295,2.76803,2.94066,3.34103,3.89962,4.15051,4.35874,3.98755,3.10714,3.30423,0.0786365,2.2746,2.76053,2.99796,3.25185,3.7133,3.88746,4.07266,3.92585,3.38307,3.3677,0.092052,2.32179,2.75691,3.09205,3.38933,3.72486,4.01543,4.09299,-9999,-9999
